# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/MG1655.fna" "-T" "16" "-a" "data/00ref/MG1655_LF82_RS00415.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam
b1829	NC_000913.3	1911695	1912576	-	882	517.28	273.17	411.63	411.74	518.40	433.68	454.73	459.00	365.28	433.68	596.98	657.14
b1830	NC_000913.3	1912768	1914816	-	2049	5518.40	2494.24	4591.58	2088.14	4361.92	2430.33	2605.83	4037.51	2580.87	2914.67	6319.49	3383.80
b1831	NC_000913.3	1914836	1915534	-	699	3343.08	1646.22	2533.58	1435.64	3187.24	1534.76	2271.17	3460.48	2325.01	2310.50	4849.87	1969.90
b1832	NC_000913.3	1915631	1916128	-	498	85.56	54.33	76.03	280.28	124.40	262.48	201.30	128.46	448.54	215.69	147.33	379.67
b1833	NC_000913.3	1916258	1917541	+	1284	42.08	25.48	38.67	68.70	45.61	52.28	61.08	50.98	67.18	73.37	88.13	94.08
b1834	NC_000913.3	1917510	1920143	+	2634	191.07	97.95	144.93	229.88	157.76	276.73	201.54	165.67	205.45	231.33	239.88	300.48
b1835	NC_000913.3	1920223	1921662	+	1440	47.04	39.80	40.56	79.47	87.32	85.25	142.64	81.12	159.13	156.72	110.53	134.87
b1836	NC_000913.3	1921780	1922016	+	237	17.20	14.50	18.14	27.38	24.62	23.59	41.50	41.33	60.20	55.79	39.52	48.38
b1837	NC_000913.3	1922121	1922312	+	192	12.95	5.22	8.33	13.71	22	10.11	26.46	16.11	34.29	23.73	15.23	7.61
b1838	NC_000913.3	1922313	1922969	-	657	3.06	1	7	4.32	1.50	10.28	2.41	2.70	6.70	4.71	8.47	6.22
b4432	NC_000913.3	1923066	1923337	+	272	50.24	35.22	48.88	141.17	47.25	173	49.34	32.62	62.67	93.82	51.89	248.79
b4433	NC_000913.3	1923104	1923207	-	104	144.50	75.12	96	82.38	46	124.30	35.67	50	33	33.50	105.83	117.29
b1839	NC_000913.3	1923365	1923706	-	342	243.58	152.12	182.50	161.24	140.92	153.95	120.07	153.42	109.61	130.50	245.56	239.10
b1840	NC_000913.3	1923719	1924591	-	873	328.58	171.62	263.94	213.65	187.58	235.12	166.71	202.83	151.65	167.36	291.57	342.87
b1841	NC_000913.3	1924595	1924969	-	375	279.38	144.41	221.11	180.25	212.09	207.57	170.74	196.01	188.75	202.51	316.60	304.29
b1842	NC_000913.3	1925108	1925338	+	231	16.62	4.65	12.05	23.36	26.11	23.28	26.33	20	29.62	36.76	30.22	30.74
b1843	NC_000913.3	1925440	1926096	+	657	66.12	39.67	37.58	45.11	69.14	77.44	80.05	68.82	105.45	81.70	105.09	93.75
b1844	NC_000913.3	1926120	1926782	+	663	42.70	17.72	35.58	53	50.20	62.00	60.83	50.15	72.24	71.20	54.17	89.93
b1845	NC_000913.3	1926779	1928839	-	2061	67.93	80.01	74.00	65.74	58.80	74.36	92.57	63.99	74.13	48.03	80.91	219.00
b1846	NC_000913.3	1929048	1929707	-	660	15.89	6.11	12.72	29.98	17.05	28.35	15.08	16.99	11.82	23.69	19.61	39.96
b1847	NC_000913.3	1930034	1930390	-	357	64.08	40.58	47.58	64.98	66.29	77.54	88.49	55.17	84.37	69.28	76.08	102.17
b1848	NC_000913.3	1930457	1930747	-	291	90.83	51.67	52.53	171.33	93.87	122.31	154.92	85.63	125.77	160.70	109.23	164.90
b1849	NC_000913.3	1930881	1932059	+	1179	23.93	8.22	15.50	27.42	17.30	17.64	30.10	28.33	26.63	35.38	24.72	30.10
b1850	NC_000913.3	1932115	1932756	-	642	134.75	59.89	104.25	255.44	246.83	341.38	548.44	198.66	484.37	575.96	309.61	453.12
b1851	NC_000913.3	1932793	1934604	-	1812	62.08	24.07	40.42	118.72	62.32	107.58	186.83	48.72	169.53	164.53	106.48	181.77
b1852	NC_000913.3	1934839	1936314	-	1476	663.85	341.78	455.90	694.60	574.92	759.39	778.37	546.60	712.47	808.02	814.67	1050.98
b1853	NC_000913.3	1936652	1937521	+	870	32.13	21.52	24.94	117.87	40.54	119.24	94.30	51.20	74.42	67.00	64.65	182.06
b1854	NC_000913.3	1937649	1939091	+	1443	248.46	106.23	155.07	465.49	182.44	564.82	334.32	197.06	293.45	309.10	261.57	802.21
b1855	NC_000913.3	1939222	1940193	-	972	159.79	103.52	129.73	101.59	215.77	155.86	236.63	256.63	206.66	201.05	289.91	214.16
b1856	NC_000913.3	1940313	1941635	-	1323	338.03	173.62	249.57	279.93	190.62	277.74	286.54	197.54	247.79	293.97	280.98	529.49
b1857	NC_000913.3	1941651	1942583	-	933	251.87	156.56	203.10	221.00	252.58	224.38	291.42	205.10	237.24	252.49	273.56	315.00
b1858	NC_000913.3	1942662	1943417	+	756	39.02	19.27	34.39	67.42	91.89	65.67	187.80	60.72	165.68	135.11	93.77	107.78
b1859	NC_000913.3	1943414	1944199	+	786	32.57	16.60	17.78	29	36.83	41.50	49.19	40.50	59.93	53.00	51.79	50.71
b1860	NC_000913.3	1944346	1945356	-	1011	74.66	51.28	87.14	158.28	87.23	151.48	203.51	92.64	177.85	201.54	151.04	223.66
b1861	NC_000913.3	1945365	1945976	-	612	33.92	19.28	22.35	106.71	51.28	112.54	131.97	53.31	117.26	144.37	54.27	163.34
b4677	NC_000913.3	1946115	1946180	-	66	0	0	0	0	1	0.50	3	0	2	0.25	0	0
b1862	NC_000913.3	1946251	1946853	+	603	1.86	0.66	3.31	4.33	3.57	5.47	7.00	5.10	9.70	7.47	6.32	5.06
b1863	NC_000913.3	1946855	1947376	-	522	499.92	250.78	375.00	610.74	422.01	828.70	807.28	502.33	823.82	908.13	619.62	1055.38
b1864	NC_000913.3	1947411	1948151	-	741	528.42	272.15	445.92	784.02	572.75	837.42	1365.33	629.70	1330.50	1226.15	868.62	1128.67
b1865	NC_000913.3	1948180	1948632	-	453	556.78	285.65	430.48	904.37	506.60	958.54	1064.02	549.00	914.23	1017.28	744.23	1220.20
b1866	NC_000913.3	1948750	1950522	-	1773	942.67	423.54	691.18	1298.31	809.69	1337.72	1841.68	843.17	1737.36	1748.59	1186.77	2025.31
b1867	NC_000913.3	1950832	1951398	+	567	40.99	18.50	26.20	34.77	32.34	38.27	40.27	41.17	58.73	60.57	75.90	74.03
b1868	NC_000913.3	1951395	1952213	+	819	57.46	23.89	46.50	73.36	80.48	82.29	69.46	68.46	83.39	86.20	111.80	108.62
b1869	NC_000913.3	1952266	1952661	+	396	148.33	71	104.83	82.92	182.28	76.55	162	225.10	154.03	155.50	298.88	105.67
b1870	NC_000913.3	1952702	1953445	+	744	152.02	53.07	82.35	79.32	258.64	93.24	221.66	230.40	216.12	244.58	352.21	132.22
b1871	NC_000913.3	1953442	1954413	+	972	183.62	97.55	163.42	131.03	287.76	141.50	320.30	275.25	280.22	299.42	400.81	202.81
b1872	NC_000913.3	1954578	1957007	-	2430	20.85	10.08	18.78	15.12	33.54	21.30	31.70	27.43	28.79	33.42	39.14	28.03
b1873	NC_000913.3	1957032	1958132	-	1101	5.69	3.96	2.02	1.48	2.38	0.77	6.23	1.20	6.77	3.52	6.24	9.09
b4717	NC_000913.3	1958441	1958520	-	80	140.67	27.50	117	34	62.17	56	50.12	65.50	60.58	36.50	79.10	75.57
b1874	NC_000913.3	1958520	1959266	-	747	87.52	62	67.39	78.73	142.53	86.66	94.92	118.38	96.00	91.05	171.87	114.79
b1875	NC_000913.3	1959280	1959846	-	567	47.86	22.25	40	40.71	58.92	48.54	44.37	55	40.83	50.50	91.20	64.95
b1876	NC_000913.3	1960062	1961795	+	1734	634.52	270.44	499.55	810.80	818.65	902.02	1486.42	852.91	1402.51	1444.97	1218.46	1196.77
b4778	NC_000913.3	1961837	1961881	-	45	2.27	1	2	27	4.25	27	8	4	7	13	7	44
b1877	NC_000913.3	1961972	1962460	+	489	14.86	4.62	3.77	12.51	10.14	13.27	34.61	12.22	17.19	20.48	10.60	29.58
b1878	NC_000913.3	1962580	1962972	-	393	20.87	11.86	13.75	118.98	40.08	162.60	117.79	44	106.78	120.33	67.20	227.72
b1879	NC_000913.3	1962972	1965050	-	2079	92.21	58.50	63.63	514.05	246.73	603.47	603.84	243.93	639.62	618.84	358.30	883.71
b1880	NC_000913.3	1965043	1966191	-	1149	116.40	53.69	63.72	638.96	291.91	750.86	791.21	378.32	796.61	847.34	472.95	1106.99
b1881	NC_000913.3	1966393	1967037	-	645	37.22	16.57	17.56	435.03	23.87	450.14	52.26	23.64	56.41	52.80	34.20	739.46
b1882	NC_000913.3	1967048	1967437	-	390	8	3.93	9.33	249.59	10.19	246.12	28.98	14.04	29.93	35.67	31.03	352.00
b1883	NC_000913.3	1967452	1968501	-	1050	24.00	12.46	12.50	317.71	27.50	355.63	46.18	24.24	31.89	54.88	27.06	480.03
b1884	NC_000913.3	1968504	1969364	-	861	37.03	14.67	22.01	393.49	35.64	444.21	52.71	34.84	69.90	63.35	50.28	642.12
b1885	NC_000913.3	1969383	1970984	-	1602	88.77	28.19	49.02	1145.85	73.89	1216.26	178.32	101.64	154.63	214.20	148.85	1687.76
b1886	NC_000913.3	1971030	1972691	-	1662	111.37	41.80	61.87	1284.10	122.63	1421.17	208.84	130.33	225.20	215.50	164.83	1996.16
b1887	NC_000913.3	1972836	1973339	-	504	48.82	14.68	37.20	647.71	48.82	726.34	127.85	62.94	75.31	106.72	83.25	919.51
b1888	NC_000913.3	1973360	1975324	-	1965	116.69	55.61	89.70	1639.29	150.35	1720.30	325.86	165.69	289.55	290.26	238.82	2717.61
b1889	NC_000913.3	1975329	1976255	-	927	90.80	36.98	53.10	965.93	83.44	1042.96	148.23	79.20	141.44	177.40	115.20	1423.90
b1890	NC_000913.3	1976252	1977139	-	888	68.29	38.00	38.26	950.14	118.87	1192.73	191.62	106.74	190.31	220.63	133.11	1501.03
b4828	NC_000913.3	1977208	1977302	-	95	98.53	30	67.40	310.39	85.17	429.67	151.72	73.25	169.17	135.43	95	671.32
b1891	NC_000913.3	1977266	1977844	-	579	93.17	68.73	85.18	247.55	112.18	317.97	243.98	106.72	288.84	237.87	146.74	390.89
b1892	NC_000913.3	1977847	1978197	-	351	75.50	49	76.27	191.40	107.50	194.25	225.99	113.82	211.49	202.61	140.75	352.61
b1893	NC_000913.3	1978518	1979021	-	504	12.83	9.28	11.37	14.17	23.63	17.23	41.46	23.15	42.62	39.26	28.25	22.16
b1894	NC_000913.3	1978940	1979215	-	276	12.04	3.91	7.37	5.18	14.00	8.69	29.80	17.41	31.90	33.20	22.64	14.17
b1895	NC_000913.3	1979753	1980181	+	429	4.26	4.52	0.25	8.03	8.73	10.92	11.17	1.20	5.14	7.50	1.53	17.71
b1896	NC_000913.3	1980188	1981612	-	1425	27.28	8.33	15.67	31.00	33.23	16.14	19.97	24.59	18.38	14.99	40.46	28.36
b1897	NC_000913.3	1981587	1982387	-	801	10.27	7.42	11.32	12.42	12.67	13.40	7.41	7.35	8.77	11.38	15.55	16.68
b4460	NC_000913.3	1982554	1983540	-	987	6.54	1.20	3.30	7.09	7.84	8.42	10.50	8.64	5.79	9.41	10.76	6.96
b1900	NC_000913.3	1983555	1985069	-	1515	7.82	8.97	5.37	8.30	12.10	6.92	19.03	16.63	15.53	12.01	13.68	11.24
b1901	NC_000913.3	1985139	1986128	-	990	11.89	12.93	25.29	14.18	19.10	15.20	31.78	19.67	18.07	17.94	22.80	47.89
b1902	NC_000913.3	1986925	1987428	+	504	21.39	19.25	14.17	21.61	34.61	39.58	33.37	23.77	24.87	43.52	55.95	39.30
b4537	NC_000913.3	1987507	1987758	-	252	180.03	93.07	125	73.15	172.12	86.67	151.48	180.97	149.28	145.09	280.98	132.57
b4663	NC_000913.3	1987873	1987959	-	87	1632.05	325.50	1075.61	481.14	896.86	1005.83	882.79	572.16	841.97	1142.70	1526.49	1044.44
b1904	NC_000913.3	1988222	1988545	+	324	63.75	17.75	24.67	202.08	108.07	259.33	256.74	114.00	320.29	307.63	216.73	311.50
b1905	NC_000913.3	1988716	1989213	+	498	206.97	103.07	114.50	406.17	584.82	428.07	742.55	668.79	908.25	1013.96	1131.20	660.53
b1906	NC_000913.3	1989251	1989490	-	240	11.50	10	15	7.75	37.50	6.14	12.41	32	17.59	21.37	43.43	7.83
b1907	NC_000913.3	1989681	1990892	+	1212	118.50	68.88	119.85	76.46	134.43	68.28	127.79	121.33	219.71	151.87	181.65	112.12
b1908	NC_000913.3	1990954	1991619	-	666	199.17	112.15	175.17	283.60	107.09	277.03	139.78	107.96	145.75	128.54	153.22	424.27
b4759	NC_000913.3	1991748	1991814	-	67	30249.68	19363.80	40599.54	31670.39	27111.23	30352.08	21270.79	29037.74	21020.78	23774.61	46450.21	37513.16
b1909	NC_000913.3	1991815	1991901	-	87	75576.97	51816.55	97131.71	81303.27	67258.57	76232.19	49919.44	77886.69	45993.17	54304.15	110171.80	99720.88
b1910	NC_000913.3	1991914	1991987	-	74	34632.76	18424.06	27724.50	32409.84	20975.21	48568.07	14321.85	25168.94	14522.54	15123.82	27893.38	72630.63
b1911	NC_000913.3	1992042	1992117	-	76	77985.39	58112.63	54129.46	91547.21	64043.04	75179.25	65714.65	101976.33	60277.32	69632.33	104785.88	120928.30
b1912	NC_000913.3	1992269	1992817	-	549	66.37	27.27	43.92	106.06	82	109.60	87.77	84.25	107.16	125.65	104.89	153.43
b1913	NC_000913.3	1992874	1994706	-	1833	255.38	132.76	232.17	295.23	340.82	319.91	466.11	311.90	424.76	460.82	464.45	412.53
b1914	NC_000913.3	1994703	1995359	-	657	130.25	75.98	84.38	195.46	156.25	201.40	307.76	192.98	297.44	309.83	268.90	367.19
b4752	NC_000913.3	1995655	1995831	+	177	2.50	3	2.50	6.17	7.50	6.11	16	5.50	9.69	11.08	4.60	17.25
b1915	NC_000913.3	1995818	1996042	+	225	122.83	40.58	74.50	100.33	152.50	239.21	445.33	154.25	320.48	511.41	322.43	297
b1916	NC_000913.3	1996110	1996832	-	723	114.13	54.98	81.79	137.75	125.71	142.31	141.71	149.92	161.02	163.45	191.44	211.32
b4719	NC_000913.3	1996921	1997057	+	137	32.06	13.50	27	34	22.86	41.75	25.38	21.50	35.25	47.50	27	79.75
b1917	NC_000913.3	1997062	1997814	-	753	90.75	58.70	77.61	119.90	87.13	116.18	101.07	111.60	82.16	110.39	114.92	175.92
b1918	NC_000913.3	1997811	1998479	-	669	72.34	18.40	30.38	56.38	32.23	68.23	67.65	61.87	61.37	69.32	64.25	119.91
b1919	NC_000913.3	1998494	1999480	-	987	132.69	62.14	85.66	124.58	115.65	170.12	100.12	106.52	107.39	102.73	159.34	215.96
b1920	NC_000913.3	1999585	2000385	-	801	236.82	125.10	135.17	596.97	221.27	609.04	336.25	271.39	347.03	355.01	321.50	748.45
b1921	NC_000913.3	2000473	2001024	-	552	231.20	105.93	167.00	562.03	570.60	674.27	927.87	652.01	1006.38	1008.18	928.07	897.88
b1922	NC_000913.3	2001070	2001789	-	720	406.64	212.26	291.66	1225.28	823.76	1364.38	1396.01	907.55	1418.28	1493.79	1315.49	1845.20
b4827	NC_000913.3	2001912	2002106	-	195	314.51	96.46	174.08	5705.18	201.00	6257.49	513.43	260.08	565.22	608.01	360.85	8379.41
b1923	NC_000913.3	2002110	2003606	-	1497	426.66	169.66	341.29	11295.67	470.24	11701.70	1327.56	545.26	1181.31	1330.48	818.66	17191.86
b1924	NC_000913.3	2003872	2005278	+	1407	140.90	60.93	78.58	1144.95	190.05	1323.10	460.41	253.02	468.82	531.94	334.13	2023.39
b1925	NC_000913.3	2005303	2005713	+	411	52.25	34.50	29.00	421.22	60.15	431.10	116.83	65.58	118.40	136.95	98.98	660.70
b1926	NC_000913.3	2005713	2006078	+	366	50.33	20.50	46.15	470.78	56.33	563.13	125.27	66.53	165.12	153.87	117.57	733.75
b1927	NC_000913.3	2006156	2007643	+	1488	110.27	64.86	68.21	609.33	136.50	627.86	179.98	119.53	177.39	216.71	132.21	964.22
b1928	NC_000913.3	2007677	2008090	-	414	225.56	92	124.50	205.16	226.49	259.25	348.31	249.92	285.40	384.77	319.08	340.29
b1929	NC_000913.3	2008277	2009482	+	1206	49.30	51.26	47.27	110.73	55.94	105.44	92.77	51.75	98.09	82.88	65.58	176.84
b1930	NC_000913.3	2009479	2009712	+	234	13.60	3.75	5.33	54.25	15.44	59.19	37.81	21.87	37.96	29.60	20.23	75.37
b1931	NC_000913.3	2009821	2010489	+	669	3.20	1.77	2.71	16.37	6.04	3.39	10.00	5.50	18.17	14.53	10.80	10.12
b1932	NC_000913.3	2010600	2011079	+	480	2.42	0	1.75	0.12	5.02	5.82	3.83	5.70	7.25	2.44	12.29	4.42
b4495	NC_000913.3	2011223	2012351	-	1129	5.22	2.53	10.49	27.94	59.13	26.05	170.58	75.34	160.30	197.55	92.05	52.00
b1936	NC_000913.3	2012502	2012780	+	279	5	3	2.17	3.10	5.43	5.58	7.59	4	8.50	12.00	8.52	9.46
b1937	NC_000913.3	2012700	2013014	-	315	47.62	24.89	16.75	254.25	114.06	229.84	206.10	96	212.71	222.40	139.80	388.98
b1938	NC_000913.3	2013229	2014887	+	1659	433.60	232.31	296.80	1473.65	1069.98	1676.92	2195.45	1175.54	2228.87	2422.65	1768.66	2339.23
b1939	NC_000913.3	2014880	2015875	+	996	352.32	150.55	219.00	1212.24	696.42	1437.12	1322.61	779.78	1307.72	1419.94	1085.79	1829.75
b1940	NC_000913.3	2015868	2016554	+	687	207.20	120.10	110.90	711.07	385.88	752.11	767.45	438.19	871.15	858.11	655.86	966.25
b1941	NC_000913.3	2016554	2017927	+	1374	227.49	142.81	149.79	847.97	398.76	818.93	726.41	380.05	735.49	806.42	592.42	1381.67
b1942	NC_000913.3	2017946	2018389	+	444	65.37	54.40	46.14	244.66	113.30	280.97	193.85	126.08	216.98	222.01	183.20	363.76
b1943	NC_000913.3	2018386	2019513	+	1128	163.07	86.27	94.49	527.38	243.31	646.04	401.36	243.73	566.27	425.05	408.31	916.96
b1944	NC_000913.3	2019618	2020082	+	465	480.19	181.67	266.45	866.29	660.17	1027.20	1165.20	715.41	1154.58	1147.23	1084.79	1242.65
b1945	NC_000913.3	2020087	2021091	+	1005	427.92	212.81	241.08	857.58	847.05	1088.91	1415.17	892.25	1448.35	1531.89	1217.88	1471.03
b1946	NC_000913.3	2021088	2021501	+	414	274.55	162.92	160.75	677.83	366.13	716.78	622.68	376.31	637.16	710.33	536.19	1019.36
b1947	NC_000913.3	2021504	2021869	+	366	303.45	127.17	183.25	547.75	262	586.81	471.42	293.66	452.99	428.32	465.09	884.94
b1948	NC_000913.3	2021869	2022606	+	738	190.14	88.42	85.46	486.20	230.48	546.40	461.00	272.92	422.64	448.86	356.20	693.62
b1949	NC_000913.3	2022616	2022885	+	270	52.33	45	30.50	110.00	52	139.83	144.83	99.70	148.10	136.50	144	199.45
b1950	NC_000913.3	2022893	2023678	+	786	99.94	42.40	52.42	198.19	116.49	232.46	236.58	120.78	223.59	228.10	213.88	327.01
b1951	NC_000913.3	2023968	2024591	+	624	49.01	25.17	39.67	109.91	40.08	114.09	59.78	40.19	82.65	91.70	74.51	176.34
b1952	NC_000913.3	2024635	2024823	-	189	41.17	20.31	34	62	58.50	79.43	97.33	33.38	75.50	89.92	61.11	88.50
b1953	NC_000913.3	2024986	2025213	+	228	1.22	2.50	3.20	5.20	1.20	2	4.37	6.36	1.45	4	5.20	6.45
b1954	NC_000913.3	2025223	2025313	-	91	2023.11	731.37	1233.96	1385.16	1412.08	2210.62	517.17	932.33	775.79	860.17	1839.57	2453.44
b1955	NC_000913.3	2025511	2026326	+	816	8.64	8.50	7.35	3.39	5.32	1.75	8.62	8.56	3.57	6.17	9.21	9.62
b1956	NC_000913.3	2026323	2028017	-	1695	65.96	31.25	41.10	75.05	64.92	77.12	78.09	73.66	111.81	106.51	92.56	116.34
b1957	NC_000913.3	2028188	2028370	-	183	11.12	7	14.17	24	8	35.62	7.12	8.17	8.12	10	12.14	27.07
b1958	NC_000913.3	2028449	2029366	-	918	70.15	51.47	66.50	152	39.48	155.16	62.69	59.02	47.81	67.97	62.13	205.18
b1959	NC_000913.3	2029539	2030459	+	921	19.29	6	18.03	77.92	7.43	73.82	23.64	9.57	25.27	13.63	7.32	102.88
b1960	NC_000913.3	2030448	2030918	-	471	50.50	24	33.25	54.60	61.29	62.79	79.61	58.10	84.17	77.82	74.84	90.50
b1961	NC_000913.3	2030899	2032317	-	1419	97.41	41.11	75.81	151.80	175.59	146.05	243.80	174.51	231.46	265.25	251.23	244.76
b1962	NC_000913.3	2032384	2033079	-	696	83.91	54.32	60.11	104.73	153.57	110.39	115.99	152.04	114.75	119.63	205.05	117.93
b1963	NC_000913.3	2033119	2033421	-	303	22.30	10	20.37	6.71	41.17	8.25	38.78	61.42	23	58.34	75.29	21.11
b4603	NC_000913.3	2033649	2033739	+	91	1.24	0	1.50	0.08	3.44	2	1.67	2.31	2.03	2.53	0.72	0.55
b4496	NC_000913.3	2034051	2035243	+	1193	10.21	5.81	9.51	16.85	10.91	17.57	19.95	21.37	15.76	19.67	25.08	22.01
b1967	NC_000913.3	2035835	2036686	+	852	1.62	2	1.32	1.40	35.69	4.31	31.37	34.13	40.40	33.80	39.53	12.58
b1968	NC_000913.3	2036794	2038152	-	1359	20.34	6.49	16.49	32.58	35.89	40.55	69.67	40.49	69.58	67.22	42.56	71.25
b1969	NC_000913.3	2038152	2038823	-	672	4.50	1.25	5.12	23.61	16.50	22.59	24.34	10.58	36.67	35.57	13.41	44.66
b1970	NC_000913.3	2038956	2039369	+	414	2	2.17	1	2.50	1.50	4.31	3.58	3.20	7.58	1.71	4.51	2.33
b1971	NC_000913.3	2039478	2040482	+	1005	65.18	38.30	51.56	65.09	60.67	67.89	52.58	65.10	42.27	65.66	99.21	77.03
b1972	NC_000913.3	2040483	2041118	+	636	7.17	6.85	9.07	7.97	14.35	3.72	12.85	15.47	11.10	14.33	23.16	3.81
b1973	NC_000913.3	2041375	2042025	+	651	2.77	5.10	3.82	2.06	12.16	6.33	11.70	11.10	23.18	26.01	10.80	5.99
b1974	NC_000913.3	2042368	2042898	+	531	0.85	0.50	0.07	0	9.20	0.96	3.74	3.03	10.28	8.62	8.05	6
b1975	NC_000913.3	2043468	2043557	-	90	12919.17	10288.99	11473.94	13457.96	10189.44	13942.56	11187.81	12242.35	12248.23	13764.33	16452.65	23929.29
b1976	NC_000913.3	2043651	2044448	+	798	52.67	22.84	58.42	79.69	72.50	79.90	69.46	71.00	77.02	102.75	108.14	88.42
b1977	NC_000913.3	2044549	2044624	+	76	92494.74	44102.45	72653.78	91156.95	70494.05	88684.80	71322.37	75250.05	60868.92	78517.17	99104.04	105311.70
b1978	NC_000913.3	2044938	2052014	+	7077	157.99	71.60	105.16	105.93	132.50	117.32	176.76	158.23	153.02	165.39	208.13	144.13
b4497	NC_000913.3	2052276	2053328	-	1053	7.11	3.09	1.44	7.87	11.49	6.30	7.01	8.65	10.51	13.46	11.65	11.30
b1981	NC_000913.3	2053643	2054959	+	1317	166.85	110.37	154.83	130.95	200.04	131.60	61.03	240.99	91.77	89.99	279.39	205.69
b1982	NC_000913.3	2055061	2056515	+	1455	188.85	86.95	116.90	189.08	135.43	198.90	157.35	129.25	147.89	132.54	240.50	277.48
b1983	NC_000913.3	2056858	2057574	+	717	154.13	110.61	116.79	243.81	284.96	265.11	492.64	303.58	447.62	537.04	462.22	417.89
b1984	NC_000913.3	2058027	2058102	-	76	92114.03	43921.37	72364.61	90905.35	70162.39	88453.63	70430.94	74914.85	60393.10	77798.85	98515.84	105017.75
b1985	NC_000913.3	2058203	2059846	-	1644	23.54	12.88	27.94	40.78	28.64	48.31	41.28	31.67	33.50	37.71	41.31	56.84
b1986	NC_000913.3	2059851	2059926	+	76	93190.49	44270.73	73057.08	91403.02	71261.02	89011.49	71899.20	76105.26	61399.58	79104.15	100630.22	105630.13
b1987	NC_000913.3	2059964	2060914	-	951	295.77	86.11	179.48	99.06	161.87	175.21	208.45	176.43	163.77	174.47	192.07	319.32
b1988	NC_000913.3	2061016	2061933	-	918	6.88	4.86	5.23	6.61	5.24	10.16	6.67	8.31	10.08	6.35	7.91	9.63
b1989	NC_000913.3	2062260	2062335	+	76	99394.71	44878.19	76999.66	91526.71	76359.99	89606.10	74681.40	79065.29	64193.10	81644.45	112766.70	106161.43
b1990	NC_000913.3	2062391	2063323	-	933	33.01	17.31	23.09	53.30	28.86	55.50	57.37	59.95	57.87	65.45	81.81	73.52
b1991	NC_000913.3	2063388	2064467	-	1080	24.69	10.74	25.67	53.54	32.62	57.15	34.55	34.94	67.57	36.88	46.64	69.10
b1992	NC_000913.3	2064479	2065222	-	744	11.66	7.67	13.80	19.42	19.36	28.40	32.20	29.19	20.84	43.23	36.31	48.40
b1993	NC_000913.3	2065219	2065764	-	546	16.39	23.37	10.64	54.61	17.75	30.25	22.39	22.25	25.20	23.25	26.92	60.23
b4639	NC_000913.3	2066068	2066154	-	87	1	1	0	0.12	0	0.33	5.31	2	3	3	1.55	0.50
b1994	NC_000913.3	2066305	2067285	-	981	3.21	1.74	4.05	4.27	8.78	5.62	5.88	7.98	9.21	8.36	7.69	7.22
b4640	NC_000913.3	2067360	2067892	-	533	44.91	38.64	33.00	50.86	80.05	45.86	103.53	91.78	119.55	122.84	121.91	81.66
b4641	NC_000913.3	2068261	2068419	-	159	35	14.50	31.17	120.29	78.17	111.72	92.30	84.70	147.92	155.02	138.40	138.50
b4582	NC_000913.3	2068635	2070474	+	1840	29.51	11.17	15.73	19.77	61.99	14.12	70.93	71.34	94.87	73.19	100.46	30.28
b1996	NC_000913.3	2068952	2069857	-	906	49.94	24.77	44.03	52.15	54.66	58.95	73.24	57.28	53.09	75.75	77.91	65.62
b1997	NC_000913.3	2069815	2070180	-	366	9.92	5.71	6.03	8.87	11.58	11.54	14.25	10.14	14.41	17.84	14.93	14.57
b1999	NC_000913.3	2070786	2071211	+	426	3.75	1.95	2.50	5.28	2.83	6	10.58	7.11	12.42	9.78	2.97	11.32
